date,energy_kwh,production_tonnes,ambient_temp_c,operating_hours,grid_pf,tariff_period
2026-02-14,9267.0,87.7,26.8,21.7,0.82,peak
2026-02-15,9048.0,83.4,23.8,23.9,0.768,offpeak
2026-02-16,9003.0,86.8,21.9,22.2,0.816,offpeak
2026-02-17,9611.0,95.4,25.6,20.4,0.796,offpeak
2026-02-18,9260.0,90.5,25.7,21.1,0.782,offpeak
2026-02-19,9318.0,94.6,21.8,19.5,0.909,offpeak
2026-02-20,9548.0,94.9,25.4,22.2,0.851,offpeak
2026-02-21,10271.0,102.6,26.4,22.3,0.855,peak
2026-02-22,9360.0,89.3,25.8,22.0,0.828,offpeak
2026-02-23,8733.0,80.2,26.3,23.7,0.833,offpeak
2026-02-24,10075.0,100.5,22.3,23.8,0.879,peak
2026-02-25,9214.0,89.3,25.9,22.3,0.839,offpeak
2026-02-26,9771.0,100.9,24.6,20.2,0.861,peak
2026-02-27,9548.0,95.1,24.4,23.2,0.832,offpeak
2026-02-28,9708.0,91.0,27.1,23.1,0.826,peak
2026-03-01,9965.0,94.8,28.4,22.8,0.784,peak
2026-03-02,10744.0,106.0,29.1,23.6,0.761,offpeak
2026-03-03,10723.0,106.0,28.2,21.2,0.83,peak
2026-03-04,9627.0,92.6,25.4,24.0,0.842,peak
2026-03-05,9944.0,93.3,26.4,21.4,0.789,peak
2026-03-06,10172.0,100.6,27.3,23.3,0.839,peak
2026-03-07,8918.0,85.2,26.1,20.6,0.842,offpeak
2026-03-08,9542.0,94.7,26.2,21.5,0.754,offpeak
2026-03-09,9737.0,91.8,27.7,24.0,0.803,peak
2026-03-10,9768.0,94.5,26.0,22.2,0.856,offpeak
2026-03-11,9073.0,85.3,24.7,23.4,0.855,peak
2026-03-12,11036.0,79.3,25.4,22.8,0.794,offpeak
2026-03-13,8458.0,75.4,27.6,22.4,0.846,peak
2026-03-14,9084.0,83.1,26.4,24.0,0.881,peak
2026-03-15,9148.0,88.3,27.2,22.2,0.871,peak
2026-03-16,9297.0,89.7,27.9,20.5,0.836,offpeak
2026-03-17,10348.0,106.0,25.9,21.6,0.821,peak
2026-03-18,10144.0,100.8,28.3,23.1,0.815,peak
2026-03-19,8973.0,84.3,27.6,22.9,0.859,offpeak
2026-03-20,9863.0,94.8,24.5,20.8,0.848,offpeak
2026-03-21,9315.0,88.7,29.9,21.7,0.865,peak
2026-03-22,9093.0,89.7,26.1,21.9,0.845,offpeak
2026-03-23,9393.0,93.5,23.9,22.1,0.873,offpeak
2026-03-24,9668.0,97.0,25.2,21.0,0.844,peak
2026-03-25,9310.0,89.3,25.4,21.8,0.871,offpeak
2026-03-26,10148.0,100.5,27.6,21.7,0.875,peak
2026-03-27,9089.0,82.9,27.0,23.3,0.808,offpeak
2026-03-28,9529.0,92.1,27.0,23.4,0.768,peak
2026-03-29,10598.0,106.0,29.0,22.3,0.902,offpeak
2026-03-30,9549.0,93.8,28.6,22.1,0.85,peak
2026-03-31,10289.0,103.5,28.6,22.7,0.771,peak
2026-04-01,9444.0,92.7,28.9,21.6,0.811,offpeak
2026-04-02,9651.0,96.6,29.4,21.2,0.871,peak
2026-04-03,9459.0,91.5,24.1,21.5,0.829,offpeak
2026-04-04,9504.0,90.6,27.6,21.8,0.82,offpeak
2026-04-05,9029.0,85.8,24.1,21.2,0.896,offpeak
2026-04-06,9852.0,95.4,28.6,22.7,0.798,peak
2026-04-07,9316.0,85.2,28.7,23.3,0.808,offpeak
2026-04-08,9620.0,97.3,30.9,20.8,0.848,peak
2026-04-09,10413.0,100.7,31.2,22.5,0.856,peak
2026-04-10,9826.0,94.9,29.4,22.3,0.86,offpeak
2026-04-11,9544.0,89.7,28.1,22.9,0.876,offpeak
2026-04-12,9952.0,95.6,30.1,22.5,0.848,peak
2026-04-13,9135.0,89.5,28.2,20.9,0.86,peak
2026-04-14,9781.0,99.5,29.4,21.1,0.83,offpeak
2026-04-15,8616.0,77.3,31.5,22.5,0.843,offpeak
2026-04-16,9591.0,89.3,28.5,23.6,0.844,peak
2026-04-17,8484.0,76.1,31.3,20.1,0.849,offpeak
2026-04-18,8728.0,80.0,31.1,22.9,0.871,peak
2026-04-19,10276.0,102.9,28.0,23.8,0.862,peak
2026-04-20,10075.0,99.2,31.9,22.3,0.842,offpeak
2026-04-21,9314.0,86.2,31.5,23.1,0.808,offpeak
2026-04-22,8599.0,80.0,30.4,21.7,0.843,peak
2026-04-23,7815.0,68.3,28.8,22.4,0.839,peak
2026-04-24,9033.0,87.7,28.7,20.7,0.848,peak
2026-04-25,10356.0,106.0,29.4,19.9,0.928,offpeak
2026-04-26,9857.0,95.5,31.7,23.5,0.819,peak
2026-04-27,9188.0,87.5,28.8,21.4,0.857,peak
2026-04-28,10071.0,95.7,31.7,22.0,0.883,offpeak
2026-04-29,8441.0,79.5,28.4,21.0,0.844,peak
2026-04-30,9339.0,89.6,30.6,20.9,0.934,offpeak
2026-05-01,9880.0,92.8,31.3,22.3,0.825,peak
2026-05-02,9685.0,91.3,36.1,21.7,0.853,offpeak
2026-05-03,9974.0,98.3,28.6,22.9,0.808,peak
2026-05-04,10208.0,94.8,34.4,23.0,0.826,peak
2026-05-05,10058.0,97.3,31.8,22.9,0.85,peak
2026-05-06,9540.0,86.5,32.5,22.8,0.874,offpeak
2026-05-07,10403.0,99.2,32.0,24.0,0.853,offpeak
2026-05-08,10466.0,105.0,32.7,21.3,0.89,peak
2026-05-09,9239.0,84.2,31.6,22.4,0.836,peak
2026-05-10,9498.0,84.9,34.9,23.7,0.827,offpeak
2026-05-11,10698.0,102.7,31.2,23.9,0.948,peak
2026-05-12,9484.0,90.5,34.5,20.9,0.856,peak
2026-05-13,10418.0,103.2,31.0,22.2,0.811,offpeak
2026-05-14,9612.0,88.5,32.3,24.0,0.812,peak
2026-05-15,10607.0,103.6,30.4,23.1,0.802,peak
2026-05-16,9710.0,93.1,33.5,22.7,0.877,peak
2026-05-17,10116.0,94.1,35.6,22.3,0.825,peak
2026-05-18,10623.0,104.5,32.6,22.1,0.845,peak
2026-05-19,9378.0,89.1,32.5,22.8,0.837,offpeak
2026-05-20,9303.0,84.5,30.7,22.2,0.869,offpeak
2026-05-21,9809.0,88.4,32.6,22.5,0.806,peak
2026-05-22,10046.0,95.6,30.0,22.6,0.797,offpeak
2026-05-23,8969.0,79.5,31.4,21.8,0.849,peak
2026-05-24,10191.0,97.1,33.8,23.1,0.864,offpeak
2026-05-25,9462.0,87.7,36.0,24.0,0.853,peak
2026-05-26,10130.0,101.2,39.1,20.5,0.808,offpeak
2026-05-27,8499.0,72.8,32.4,22.9,0.867,peak
2026-05-28,9295.0,85.7,36.5,21.7,0.81,peak
